epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6052,1.30107,4.07981,1.41882,0.00238,0.71429,0.00258,0.00081,1.55733,4.36147,1.83377,4e-05,4e-05,4e-05
2,11.9482,1.29327,3.89156,1.41642,0.00333,1,0.01647,0.00991,0.8581,3.77588,1.31286,9.802e-05,9.802e-05,9.802e-05
3,13.7357,1.06514,3.71953,1.20495,0.00333,1,0.995,0.85417,0.59258,3.05408,0.83816,0.000153664,0.000153664,0.000153664
4,14.1532,0.82129,2.6202,0.96465,0.00333,1,0.995,0.85348,0.6154,2.74362,0.82962,0.000206932,0.000206932,0.000206932
5,14.5173,0.76371,1.63532,0.91639,0.95208,1,0.995,0.82758,0.60184,2.54633,0.81524,0.000257824,0.000257824,0.000257824
6,15.8593,0.72047,1.53788,0.92659,0.07848,1,0.995,0.87174,0.58332,2.78621,0.8346,0.00030634,0.00030634,0.00030634
7,16.2512,0.7566,1.80201,0.94218,0.00333,1,0.9775,0.78091,0.63897,2.90509,0.84518,0.00035248,0.00035248,0.00035248
8,16.6137,0.73104,1.5918,0.87511,0.00592,1,0.995,0.79173,0.80439,2.768,0.89059,0.000396244,0.000396244,0.000396244
9,17.7793,0.74276,1.3459,0.89736,0.50402,1,0.995,0.8013,0.7209,2.75038,0.89334,0.000437632,0.000437632,0.000437632
10,18.1796,0.73888,1.27507,0.89808,0.00333,1,0.995,0.82313,0.70298,2.89547,0.91361,0.000476644,0.000476644,0.000476644
11,18.5341,0.79096,1.50887,0.91521,0.00333,1,0.995,0.76682,0.79565,2.94299,0.90306,0.00051328,0.00051328,0.00051328
12,18.8943,0.69472,1.25346,0.88278,1,0.57173,0.995,0.82039,0.69648,2.63863,0.85777,0.00054754,0.00054754,0.00054754
13,19.2551,0.70452,1.16926,0.87838,1,0.90068,0.995,0.79225,0.69534,2.58073,0.84847,0.000579424,0.000579424,0.000579424
14,19.9087,0.69472,1.32343,0.88622,1,0.90839,0.995,0.80063,0.71725,2.59062,0.88552,0.000608932,0.000608932,0.000608932
15,20.2684,0.75245,1.26595,0.93742,1,0.84466,0.995,0.76196,0.85884,2.64958,0.91621,0.000636064,0.000636064,0.000636064
16,21.7779,0.78048,1.16216,0.92402,1,0.64457,0.995,0.80184,0.70696,2.76712,0.85875,0.00066082,0.00066082,0.00066082
17,22.179,0.6998,1.03228,0.89293,1,0.67146,0.995,0.79058,0.72811,2.74888,0.89898,0.0006832,0.0006832,0.0006832
18,23.5878,0.68924,1.1321,0.9144,1,0.71607,0.995,0.82584,0.75729,2.7047,0.87757,0.000703204,0.000703204,0.000703204
19,23.9475,0.6714,1.09296,0.92325,1,0.80583,0.995,0.86931,0.66003,2.59283,0.8558,0.000720832,0.000720832,0.000720832
20,24.2963,0.65368,1.0418,0.88851,0.97545,1,0.995,0.83061,0.67635,2.4379,0.86738,0.000736084,0.000736084,0.000736084
21,24.6355,0.66984,1.04161,0.91296,0.96719,1,0.995,0.83099,0.67579,2.36198,0.86459,0.00074896,0.00074896,0.00074896
22,25.1366,0.66394,0.99005,0.90101,0.95703,1,0.995,0.86931,0.55969,2.11709,0.83271,0.00075946,0.00075946,0.00075946
23,25.4711,0.62574,1.01451,0.90289,0.95951,1,0.995,0.87138,0.57807,1.98488,0.84522,0.000767584,0.000767584,0.000767584
24,25.829,0.67134,0.94932,0.90022,0.99261,1,0.995,0.87952,0.57544,1.73306,0.8365,0.000773332,0.000773332,0.000773332
25,26.1849,0.58566,0.97252,0.89456,0.99267,1,0.995,0.85225,0.59947,1.71194,0.84707,0.000776704,0.000776704,0.000776704
26,26.5369,0.57204,0.86137,0.86486,0.98697,1,0.995,0.86037,0.66524,1.74891,0.8656,0.0007777,0.0007777,0.0007777
